CodPosicion;RCR;Fecha;LocalTime;Valid;Latitud;N_S;Longitud;E_W;Speed;N_Sat
1;T;01/09/2008;6:42;SPS;36,588237;N;-3,552358;W;3,988;7
2;T;01/09/2008;6:42;SPS;36,588225;N;-3,552383;W;3,224;7
3;T;01/09/2008;6:42;SPS;36,588215;N;-3,552411;W;3,486;7
4;T;01/09/2008;6:42;SPS;36,588215;N;-3,552431;W;3,678;7
5;T;01/09/2008;6:42;SPS;36,588211;N;-3,552464;W;4,188;7
6;T;01/09/2008;6:42;SPS;36,588228;N;-3,552505;W;4,578;7
7;T;01/09/2008;6:42;SPS;36,588248;N;-3,552512;W;3,244;7
8;T;01/09/2008;6:42;SPS;36,58824;N;-3,552528;W;2,209;7
9;T;01/09/2008;6:42;SPS;36,588238;N;-3,552543;W;2,691;7
10;T;01/09/2008;6:42;SPS;36,588232;N;-3,55257;W;2,998;7
11;T;01/09/2008;6:42;SPS;36,588234;N;-3,552604;W;3,722;7
12;T;01/09/2008;6:42;SPS;36,58823;N;-3,552618;W;3,197;7
13;T;01/09/2008;6:42;SPS;36,588226;N;-3,552643;W;3,964;7
14;T;01/09/2008;6:42;SPS;36,588235;N;-3,552675;W;5,11;7
15;T;01/09/2008;6:42;SPS;36,588233;N;-3,552722;W;3,242;7
16;T;01/09/2008;6:42;SPS;36,58823;N;-3,55275;W;5,135;7
17;T;01/09/2008;6:42;SPS;36,588234;N;-3,552788;W;6,022;7
18;T;01/09/2008;6:42;SPS;36,588222;N;-3,552808;W;4,041;7
19;T;01/09/2008;6:42;SPS;36,588224;N;-3,552843;W;4,496;7
20;T;01/09/2008;6:43;SPS;36,588219;N;-3,552867;W;4,714;7
21;T;01/09/2008;6:43;SPS;36,588222;N;-3,552906;W;3,389;7
22;T;01/09/2008;6:43;SPS;36,588218;N;-3,552936;W;2,778;7
23;T;01/09/2008;6:43;SPS;36,588222;N;-3,552978;W;3,44;7
24;T;01/09/2008;6:43;SPS;36,588213;N;-3,553009;W;3,406;7
25;T;01/09/2008;6:43;SPS;36,588208;N;-3,553041;W;3,359;7
26;T;01/09/2008;6:43;SPS;36,588205;N;-3,553069;W;2,841;7
27;T;01/09/2008;6:43;SPS;36,588204;N;-3,553102;W;3,385;7
28;T;01/09/2008;6:43;SPS;36,58822;N;-3,553124;W;3,063;7
29;T;01/09/2008;6:43;SPS;36,588243;N;-3,553156;W;4,022;7
30;T;01/09/2008;6:43;SPS;36,58826;N;-3,553191;W;3,887;7
31;T;01/09/2008;6:43;SPS;36,588259;N;-3,553225;W;2,308;8
32;T;01/09/2008;6:43;SPS;36,58826;N;-3,553262;W;3,56;7
33;T;01/09/2008;6:43;SPS;36,588267;N;-3,553295;W;3,272;8
34;T;01/09/2008;6:43;SPS;36,588272;N;-3,553327;W;3,403;8
35;T;01/09/2008;6:43;SPS;36,588291;N;-3,553364;W;3,71;7
36;T;01/09/2008;6:43;SPS;36,5883;N;-3,553409;W;4,681;7
37;T;01/09/2008;6:43;SPS;36,588306;N;-3,553444;W;4,002;7
38;T;01/09/2008;6:43;SPS;36,588314;N;-3,553486;W;4,303;7
39;T;01/09/2008;6:43;SPS;36,588313;N;-3,553512;W;4,432;7
40;T;01/09/2008;6:44;SPS;36,588323;N;-3,553546;W;4,482;7
41;T;01/09/2008;6:44;SPS;36,588322;N;-3,553579;W;3,366;7
42;T;01/09/2008;6:44;SPS;36,588329;N;-3,553601;W;2,801;8
43;T;01/09/2008;6:44;SPS;36,588314;N;-3,553622;W;3,371;8
44;T;01/09/2008;6:44;SPS;36,588318;N;-3,553651;W;4,445;8
45;T;01/09/2008;6:44;SPS;36,588305;N;-3,553674;W;3,447;8
46;T;01/09/2008;6:44;SPS;36,588299;N;-3,553702;W;3,11;8
47;T;01/09/2008;6:44;SPS;36,5883;N;-3,553732;W;3,147;8
48;T;01/09/2008;6:44;SPS;36,588293;N;-3,55376;W;4,189;8
49;T;01/09/2008;6:44;SPS;36,588296;N;-3,553789;W;2,791;8
50;T;01/09/2008;6:44;SPS;36,588307;N;-3,553817;W;3,073;8
51;T;01/09/2008;6:44;SPS;36,588307;N;-3,553848;W;3,771;8
52;T;01/09/2008;6:44;SPS;36,588303;N;-3,553877;W;3,807;8
53;T;01/09/2008;6:44;SPS;36,588305;N;-3,553898;W;3,055;8
54;T;01/09/2008;6:44;SPS;36,588301;N;-3,553932;W;3,258;8
55;T;01/09/2008;6:44;SPS;36,588291;N;-3,55396;W;2,287;8
56;T;01/09/2008;6:44;SPS;36,588267;N;-3,553979;W;3,157;8
57;T;01/09/2008;6:44;SPS;36,588267;N;-3,554006;W;3,141;8
58;T;01/09/2008;6:44;SPS;36,588254;N;-3,554026;W;2,766;7
59;T;01/09/2008;6:44;SPS;36,588232;N;-3,55406;W;3,364;7
60;T;01/09/2008;6:45;SPS;36,58824;N;-3,554118;W;4,219;8
61;T;01/09/2008;6:45;SPS;36,588227;N;-3,55413;W;4,224;8
62;T;01/09/2008;6:45;SPS;36,588224;N;-3,554189;W;3,282;7
63;T;01/09/2008;6:45;SPS;36,588231;N;-3,55423;W;4,835;8
64;T;01/09/2008;6:45;SPS;36,588249;N;-3,554254;W;3,821;8
65;T;01/09/2008;6:45;SPS;36,588247;N;-3,554275;W;4,163;8
66;T;01/09/2008;6:45;SPS;36,588232;N;-3,554315;W;4,558;8
67;T;01/09/2008;6:45;SPS;36,58824;N;-3,554361;W;4,447;8
68;T;01/09/2008;6:45;SPS;36,588242;N;-3,554411;W;5,227;8
69;T;01/09/2008;6:45;SPS;36,588231;N;-3,554445;W;5,349;8
70;T;01/09/2008;6:45;SPS;36,588234;N;-3,554478;W;5,989;8
71;T;01/09/2008;6:45;SPS;36,58821;N;-3,554516;W;5,687;8
72;T;01/09/2008;6:45;SPS;36,588197;N;-3,554549;W;6,723;8
73;T;01/09/2008;6:45;SPS;36,588186;N;-3,554589;W;5,636;8
74;T;01/09/2008;6:45;SPS;36,588175;N;-3,554616;W;4,814;8
75;T;01/09/2008;6:45;SPS;36,588182;N;-3,554629;W;3,867;8
76;T;01/09/2008;6:45;SPS;36,588174;N;-3,554661;W;5,084;8
77;T;01/09/2008;6:45;SPS;36,588175;N;-3,554696;W;3,161;8
78;T;01/09/2008;6:45;SPS;36,588164;N;-3,554692;W;2,016;8
79;T;01/09/2008;6:45;SPS;36,588173;N;-3,554705;W;3,25;8
80;T;01/09/2008;6:46;SPS;36,588185;N;-3,554731;W;3,925;8
81;T;01/09/2008;6:46;SPS;36,588181;N;-3,554767;W;4,982;8
82;T;01/09/2008;6:46;SPS;36,588179;N;-3,554785;W;2,952;8
83;T;01/09/2008;6:46;SPS;36,588175;N;-3,55481;W;3,127;8
84;T;01/09/2008;6:46;SPS;36,588174;N;-3,554836;W;3,229;8
